@JeremyClarkson;Jeremy Clarkson;Argument with children: who is more famous, Nicki Minaj or Rick Wakeman?;26/08/2014 18:06;418;1048
@JeremyClarkson;Jeremy Clarkson;This is a video of me being ice bucketed. @MrJamesMay @RichardHammond You're next. youtu.be/CU6pB7s7rtg;22/08/2014 16:59;12466;12780
@verge;The Verge;Charlie Shrem will reportedly plead guilty to federal charges related to Bitcoin transactions theverge.com/e/5851860;31/08/2014 09:51;14;3
@mobilevikingsBE;Mobile Vikings BE;The Mobile Vikings team at #nucleuswebkartingtrophy showed with a 5th place we aren't only fast on the water.Yay! *DA pic.twitter.com/QVq2OxKDFY;31/08/2014 09:37;0;6
@SciencePorn;SciencePorn;There were 53 kilobytes of digital memory worldwide in 1953.;31/08/2014 05:51;889;873
@verge;The Verge;The full history of Nintendo's handheld dominance theverge.com/e/5846602 pic.twitter.com/Q62pcydfA3;30/08/2014 20:06;126;165
@bimmerpost;BIMMERPOST;Another M4 Stacked with M Performance Parts Arrives bit.ly/VThEaD;29/08/2014 20:32;3;3
@Kotaku;Kotaku;Nintendo of Europe lays off 320 people: bit.ly/1rEoK1j pic.twitter.com/XbN1N9DWtz;29/08/2014 17:38;53;29
@Mr_Jean;Jan De Wilde;Oculus Rift gestuurde 3D webcam opstelling. #Ordina #ordinabelgium #innovation #oculus instagram.com/p/sPdEjjLwkK/;28/08/2014 14:11;1;1
@BBC_TopGear;Top Gear;The Corvette Stingray will soon come with an 8-speed auto option, but is it any good? TOPGEAR.com/uk/car-news/coâ€¦ pic.twitter.com/4g3uDSXyXU;28/08/2014 22:15;187;310
@verge;The Verge;Apple's September 9th event is official. iPhone 6 and iWatch expected theverge.com/e/5842842 pic.twitter.com/7xosFMPwhJ;28/08/2014 18:14;1410;615